id,player_id,group_id,start,end,current,playing
702,445,67,,,f,t
703,617,67,,,f,t
704,240,32,2012-02-25,2012-10-10,f,t
705,274,32,2012-04-29,2012-05-08,f,t
706,757,32,2011-11-30,2012-08-08,f,t
707,348,32,2011-11-30,2012-08-24,f,t
708,32,25,2012-07-27,2012-12-26,f,t
709,184,39,2012-12-21,2013-01-02,f,t
710,184,39,2012-08-07,2012-11-26,f,t
711,366,64,,2012-12-14,f,t
989,1737,4,,2012-04-15,f,t
988,229,4,,2012-09-23,f,t
714,311,48,2011-03-15,2012-11-20,f,t
715,739,9,,2012-12-12,f,f
716,210,93,,,f,t
717,202,93,,,f,t
718,148,93,,,f,t
719,464,93,,,f,t
720,396,93,,,f,t
721,441,93,,,f,f
722,724,93,,,f,t
1437,1813,93,2012-04-01,2012-09-11,f,t
724,584,93,,,f,t
725,319,93,,,f,t
726,130,93,,,f,t
727,1546,93,,,f,t
728,330,93,,,f,t
729,307,93,,,f,t
730,735,93,,,f,t
731,623,93,,,f,t
732,448,93,,,f,t
733,1384,93,,,f,t
734,283,93,,2012-07-02,f,t
735,362,93,,,f,t
737,90,16,,2012-11-26,f,t
738,250,19,2010-11-23,2012-12-10,f,t
739,168,38,,2012-12-10,f,t
1074,182,22,2010-10-13,2011-01-04,f,t
741,677,8,,2012-07-14,f,t
742,677,83,2012-07-14,2012-10-16,f,t
744,266,84,2011-07-03,2012-05-05,f,t
745,266,64,2012-05-05,2012-12-04,f,t
747,174,39,2012-08-10,2012-12-07,f,t
748,73,14,,2012-12-06,f,t
749,469,64,,2012-12-04,f,t
750,570,64,2012-05-05,2012-12-04,f,t
751,87,64,2012-08-02,2012-12-04,f,t
