NICKNAME,NAME,BIRTHDATE,MC_NUMBER,TLPD_ID,TLPD_DB,LIQUIPEDIA_PAGE,SC2E_ID,COUNTRY,RACE,PP_SCORE,FOREIGN_KEY1,FOREIGN_KEY2,FOREIGN_KEY3,ROMANIZED_NAME
152,DIMAGA,Дмитро Філіпчук,1986-06-03,1,1181,2,DIMAGA,98,UA,Z,0.100394189384676,27,31,6694571,Dmytro Filipchuk
335,joe,Johannes Witt,\N,1,1752,2,\N,\N,DK,P,-1.19922933662035,136,137,6694750,\N
7,Rain,정윤종,1992-08-14,1,697,3,Rain_(Korean_Protoss),514,KR,P,0.544594979324528,35,46,6694426,Jung Yoon Jong
25,CoCa,최종환,1994-04-14,1,2244,3,CoCa,221,KR,Z,-0.431171878026559,39,40,6694444,Choi Jong Hwan
1653,Sickness,김산하,\N,1,4339,3,Sickness,\N,KR,P,-0.774681236612348,76,77,6695934,Kim San Ha
18,Symbol,강동현,1992-01-02,1,662,3,Symbol,415,KR,Z,-0.763096128536948,193,194,6694437,Kang Dong Hyun
59,BBoongBBoong,최종혁,1988-08-05,1,2308,3,BBoong,\N,KR,Z,-0.755433882371043,141,142,6694478,Choi Jong Hyuk
596,hellokitty,Zifeng Wang,1992-02-26,1,4700,2,Hellokitty,473,US,P,-1.01429753061352,91,92,6694998,\N
233,herO,김준호,1992-08-18,1,682,3,HerO(jOin),515,KR,P,1.69062863001022,66,104,6694650,Kim Joon Ho
133,Sound,배상환,1993-12-24,1,1978,3,Sound,194,KR,T,-0.715539411720617,47,48,6694552,Bae Sang Hwan
206,RainBOw,김성제,1984-02-08,1,15,3,\N,192,KR,T,-0.908080723143216,156,157,6694624,Kim Seong Je
7505,FeMo,Felix Morau,\N,1,\N,0,,\N,SE,Z,-1.68728077957253,86,87,6700881,
1656,Starbuck,Matic Dejak,1997-01-30,1,4681,2,Starbuck,\N,SI,Z,-0.843498249726475,29,30,6695936,
100,Seal,이준,1993-06-19,1,2091,3,\N,\N,KR,Z,-0.577373222167449,49,50,6694519,Lee Joon
